id,house_value,house_age,household_size,vacant_units,population,income,age_population,postgrads,no_hs,diversity_index,unemployment,employed_technology,dist_landfills,dist_airports,dist_libraries,dist_supermarkets,dist_malls,dist_police,dist_hospitals,dist_universities,dist_schools,dist_parks,dist_coast,latitude,longitude
60710074043,846154,1978,2.3,10,998,105562,41.9,4.01,0.4,86.7,3.72,0,14.05,35.81,3.31,11.5,1.11,3.49,8.34,10.32,0.84,0.3,86,34.14,-117.2
60710074044,851054,1958,3.04,16,1736,109661,63.3,3.28,0.58,77.9,5.46,3.04,14.3,35.59,3.31,11.02,1.31,3.56,9.01,10.11,1.41,0.52,86.15,34.14,-117.2
60710074045,830065,1957,3.03,4,1139,106886,38.9,3.86,3.42,87,0,5.01,13.17,34.94,2.41,10.81,0.23,2.58,7.83,9.46,0.41,1.04,85.27,34.14,-117.21
60330007021,714623,1956,3.06,16,1357,146903,36.8,7.52,9.8,81.4,29.74,5.17,54.23,67.85,2.55,70.39,3.79,3.54,3.32,58.57,3.55,1.32,72.03,38.96,-122.61
60133551132,965030,1958,2.91,26,1764,129221,47.3,24.43,0,66.8,4.12,6.44,17.59,31.09,7.47,8.36,1.93,7.35,7.65,10.62,1.13,1.98,27.64,37.81,-121.9
60133551131,260256,1981,2.82,23,1048,42988,48,30.06,0,65.5,5.29,2.28,17.73,30.29,7.47,7.6,0.97,7.37,6.64,9.28,2.1,1.65,26.79,37.81,-121.91
60133032022,436111,1973,3.04,65,1469,40813,40,14.98,3.81,77.4,11.69,1.04,21.2,38.29,3.04,4.62,1.9,4.75,6.48,10.64,0.4,0.13,48.9,37.94,-121.72
60730036022,193750,1973,2.42,14,1211,41427,31.9,3.55,10.16,73.4,5.69,0.62,16.53,10.34,1.08,8.96,1.02,2.83,3.25,1.55,0.25,0.2,2.06,32.69,-117.11
60730038001,438983,1989,2.54,54,1068,29810,23.4,10.67,0,79.8,0,5,17.33,9.41,2.06,9.11,1.65,3.04,4.64,3.77,1.88,1.56,0.19,32.68,-117.13
60730039011,370833,1963,2.61,20,618,47432,33,1.62,18.77,73.3,7.89,0,17.43,8.42,1.41,6.97,1.08,1.92,3.71,2.14,0.88,0.34,2.17,32.7,-117.12
60730039013,494681,1980,3.22,11,1146,78470,31.2,0,19.11,71.2,10.65,1.96,17.74,7.94,0.67,6.89,0.9,1.33,3.49,2.88,0.48,0.13,1.69,32.7,-117.13
60730039021,606481,1986,2.71,22,1647,75174,31.2,0,13.54,74.4,0.3,0,18.1,8.08,0.48,7.2,0.56,1.45,3.77,2.99,0.35,0,1.42,32.7,-117.13
60730039022,907005,2002,2.59,34,1075,200001,29.7,2.14,10.88,68,13.23,0,17.94,8.85,1.25,7.76,0.54,2.22,4.4,2.34,0.44,0.64,1.54,32.7,-117.12
60014004003,189583,1979,2.82,12,1338,79992,37.2,26.76,0.45,63.7,1.43,11.4,13.79,18.64,0.23,0.93,1.39,2.71,0.83,2.04,0.08,0.28,3.72,37.85,-122.26
60014005001,689856,2010,3.42,41,4813,175652,37.2,11.32,0.12,74.7,9.01,5.24,13.83,18.59,0.43,1.25,0.94,2.93,1.19,2.02,0.31,0.21,3.31,37.85,-122.26
60014058003,629433,1990,2.22,102,2092,71675,35.9,5.54,4.83,85.5,6.13,0,5.61,10.47,0.59,2.35,2.05,3.3,0.59,2.93,0.74,0.38,4.68,37.79,-122.23
60014060002,615385,1996,2.57,41,2342,148860,38.9,1.28,2.86,86,1.94,3.46,7.19,11.03,1.07,2.71,0.56,1.21,2.99,0.36,0.2,0,3.36,37.79,-122.26
60014060003,573582,1999,2.49,19,1695,135960,44.2,5.72,2.77,77.9,2.67,6.77,7.41,11.38,0.87,2.35,0.68,0.91,2.87,0.6,0.09,0.04,3.66,37.8,-122.26
